advertiser_id,advertiser_name,cohort,flip_date,pre_days,post_days,impressions_pre,impressions_post,impressions_pct_change,vv_pre,vv_post,vv_pct_change,conversions_pre,conversions_post,conversions_pct_change,spend_pre,spend_post,spend_pct_change,order_value_pre,order_value_post,order_value_pct_change,ivr_pre,ivr_post,ivr_pct_change,vvr_pre,vvr_post,vvr_pct_change,cvr_pre,cvr_post,cvr_pct_change,roas_pre,roas_post,roas_pct_change,cpv_pre,cpv_post,cpv_pct_change,cpa_pre,cpa_post,cpa_pct_change,aov_pre,aov_post,aov_pct_change
39292,Modern Nose Clinic,Tier1-Wave2,2026-05-06,31,0,103090.0,0.0,-1.0,12.0,0.0,-1.0,0.0,0.0,,2160.5995776632303,0.0,-1.0,0.0,0.0,,0.00011640314288485789,,,0.0005248195932648152,,,0.0,,,0.0,,,180.04996480526918,,,,,,,,
39439,LA Opera,Tier1-Wave2,2026-05-06,31,0,33652.0,0.0,-1.0,1155.0,0.0,-1.0,52.0,0.0,-1.0,3286.013448076648,0.0,-1.0,12668.5,0.0,-1.0,0.03432188280042791,,,0.03485529770347346,,,0.045021645021645025,,,3.855279413848735,,,2.8450332883780503,,,63.1925663091663,,,243.625,,
39975,MyRacehorse,Tier1-Wave2,2026-05-06,31,0,312393.0,0.0,-1.0,5694.0,0.0,-1.0,1.0,0.0,-1.0,7104.356885461275,0.0,-1.0,0.0,0.0,,0.01822704093881745,,,0.018341649459961796,,,0.00017562346329469617,,,0.0,,,1.2476917607062303,,,7104.356885461275,,,0.0,,
40558,Waggle,Tier1-Wave2,2026-05-06,31,0,550465.0,0.0,-1.0,8416.0,0.0,-1.0,276.0,0.0,-1.0,11667.364128642492,0.0,-1.0,21817.129999999997,0.0,-1.0,0.015288892118481646,,,0.021358346149356153,,,0.03279467680608365,,,1.8699279254035281,,,1.3863312890497257,,,42.27305843711048,,,79.0475724637681,,
40761,COCOLAB,Tier1-Wave2,2026-05-06,31,0,123115.0,0.0,-1.0,2898.0,0.0,-1.0,119.0,0.0,-1.0,11157.974433862433,0.0,-1.0,4771.54,0.0,-1.0,0.023538967631888886,,,0.023928067176933937,,,0.04106280193236715,,,0.42763496441784626,,,3.8502327239000804,,,93.76449104086079,,,40.09697478991597,,
41801,NJ Sharing Network,Tier1-Wave2,2026-05-06,31,0,24658.0,0.0,-1.0,654.0,0.0,-1.0,2.0,0.0,-1.0,2232.539894179894,0.0,-1.0,0.0,0.0,,0.026522832346500123,,,0.02725567826630548,,,0.0030581039755351682,,,0.0,,,3.4136695629661986,,,1116.269947089947,,,0.0,,
42021,Sensorio,Tier1-Wave2,2026-05-06,31,0,13146.0,0.0,-1.0,883.0,0.0,-1.0,82.0,0.0,-1.0,1089.140944944945,0.0,-1.0,16067.97,0.0,-1.0,0.06716872052335311,,,0.07102067079546369,,,0.0928652321630804,,,14.752883981248377,,,1.2334552037881596,,,13.28220664567006,,,195.95085365853657,,
43809,Ostinol,Tier1-Wave2,2026-05-06,31,0,212664.0,0.0,-1.0,53.0,0.0,-1.0,0.0,0.0,,4552.1774011234465,0.0,-1.0,0.0,0.0,,0.0002492194259489147,,,0.00025009555537729036,,,0.0,,,0.0,,,85.89013964383861,,,,,,,,
44101,Dehnco,Tier1-Wave2,2026-05-06,31,0,57294.0,0.0,-1.0,74.0,0.0,-1.0,0.0,0.0,,5201.389280423281,0.0,-1.0,0.0,0.0,,0.0012915837609522812,,,0.0013268306677185684,,,0.0,,,0.0,,,70.28904433004433,,,,,,,,
44885,Super.com - Fin Tech,Tier1-Wave2,2026-05-06,31,0,1446686.0,0.0,-1.0,88325.0,0.0,-1.0,2012.0,0.0,-1.0,30694.097238680904,0.0,-1.0,0.0,0.0,,0.0610533315453388,,,0.0710976200710614,,,0.022779507500707615,,,0.0,,,0.3475131303558551,,,15.255515526183352,,,0.0,,
45474,San Diego Detox,Tier1-Wave2,2026-05-06,31,0,146677.0,0.0,-1.0,196.0,0.0,-1.0,13.0,0.0,-1.0,10946.205596373637,0.0,-1.0,0.0,0.0,,0.0013362694901041063,,,0.002106643450595987,,,0.0663265306122449,,,0.0,,,55.84798773660019,,,842.0158151056644,,,0.0,,
45550,Destin-Fort Walton Beach,Tier1-Wave2,2026-05-06,31,0,1534950.0,0.0,-1.0,10535.0,0.0,-1.0,197.0,0.0,-1.0,44464.65744416108,0.0,-1.0,0.0,0.0,,0.006863415746441252,,,0.008302486332618014,,,0.018699572852396772,,,0.0,,,4.22066041235511,,,225.70892103635066,,,0.0,,
45747,VTSU - Vermont State University,Tier1-Wave2,2026-05-06,31,0,65319.0,0.0,-1.0,1588.0,0.0,-1.0,23.0,0.0,-1.0,5845.48763475982,0.0,-1.0,0.0,0.0,,0.024311456084753286,,,0.02602851991476807,,,0.014483627204030227,,,0.0,,,3.6810375533752016,,,254.15163629390523,,,0.0,,
46219,Zoological Society of Milwaukee,Tier1-Wave2,2026-05-06,31,0,97495.0,0.0,-1.0,2141.0,0.0,-1.0,235.0,0.0,-1.0,3541.3615371434853,0.0,-1.0,48808.0,0.0,-1.0,0.02196010051797528,,,0.02640015783373203,,,0.10976179355441383,,,13.782269753618337,,,1.6540689103892972,,,15.069623562312703,,,207.6936170212766,,
