week_start,n_cohort,n_pp_adopters,n_default_only,n_custom_only,n_both,n_unclassified,pct_pp_adopters,pct_default_only,pct_custom_only,pct_both,share_default_of_adopters,share_custom_of_adopters,share_both_of_adopters
2025-11-24,1763,430,123,275,7,25,0.24390243902439024,0.06976744186046512,0.15598411798071468,0.003970504821327283,0.28604651162790695,0.6395348837209303,0.01627906976744186
2025-12-01,1702,451,132,284,7,28,0.26498237367802585,0.07755581668625147,0.16686251468860164,0.004112808460634548,0.2926829268292683,0.6297117516629712,0.015521064301552107
2025-12-08,1661,440,131,274,7,28,0.26490066225165565,0.07886815171583383,0.1649608669476219,0.004214328717639976,0.29772727272727273,0.6227272727272727,0.015909090909090907
2025-12-15,1666,442,134,272,10,26,0.2653061224489796,0.08043217286914765,0.16326530612244897,0.006002400960384154,0.3031674208144796,0.6153846153846154,0.02262443438914027
2025-12-22,1611,425,126,263,10,26,0.2638112973308504,0.0782122905027933,0.1632526381129733,0.006207324643078833,0.2964705882352941,0.6188235294117647,0.023529411764705882
2025-12-29,1608,421,125,260,10,26,0.26181592039800994,0.07773631840796019,0.16169154228855723,0.006218905472636816,0.29691211401425177,0.6175771971496437,0.023752969121140142
2026-01-05,1336,418,126,256,11,25,0.312874251497006,0.09431137724550898,0.19161676646706588,0.008233532934131737,0.3014354066985646,0.6124401913875598,0.02631578947368421
2026-01-12,1391,427,133,260,11,23,0.30697340043134436,0.09561466570812366,0.18691588785046728,0.007907979870596693,0.3114754098360656,0.6088992974238876,0.02576112412177986
2026-01-19,1411,440,137,266,11,26,0.3118355776045358,0.09709425939050319,0.18851878100637845,0.007795889440113395,0.31136363636363634,0.6045454545454545,0.025
2026-01-26,1446,458,138,283,12,25,0.31673582295988933,0.0954356846473029,0.19571230982019364,0.008298755186721992,0.30131004366812225,0.6179039301310044,0.026200873362445413
2026-02-02,1416,468,137,296,11,24,0.3305084745762712,0.09675141242937853,0.20903954802259886,0.007768361581920904,0.29273504273504275,0.6324786324786325,0.023504273504273504
2026-02-09,1475,480,138,305,11,26,0.3254237288135593,0.0935593220338983,0.20677966101694914,0.007457627118644068,0.2875,0.6354166666666666,0.022916666666666665
2026-02-16,1495,478,142,301,10,25,0.3197324414715719,0.09498327759197324,0.20133779264214047,0.006688963210702341,0.29707112970711297,0.6297071129707112,0.02092050209205021
2026-02-23,1501,490,148,306,11,25,0.3264490339773484,0.09860093271152565,0.20386409060626248,0.0073284477015323115,0.3020408163265306,0.6244897959183674,0.022448979591836733
2026-03-02,1497,498,161,300,12,25,0.33266533066132264,0.10754843019372078,0.20040080160320642,0.008016032064128256,0.3232931726907631,0.6024096385542169,0.024096385542168676
2026-03-09,1571,494,160,297,11,26,0.31444939528962446,0.10184595798854233,0.1890515595162317,0.007001909611712286,0.32388663967611336,0.6012145748987854,0.022267206477732792
2026-03-16,1597,507,160,309,12,26,0.3174702567313713,0.10018785222291797,0.19348778960551033,0.007514088916718848,0.3155818540433925,0.6094674556213018,0.023668639053254437
2026-03-23,1619,518,168,315,12,23,0.3199505867819642,0.10376775787523163,0.1945645460160593,0.0074119827053736875,0.32432432432432434,0.6081081081081081,0.023166023166023165
2026-03-30,1713,534,178,318,14,24,0.3117338003502627,0.1039112667834209,0.18563922942206654,0.008172796263864565,0.3333333333333333,0.5955056179775281,0.026217228464419477
2026-04-06,1617,502,164,305,11,22,0.3104514533085962,0.10142238713667286,0.1886209029066172,0.006802721088435374,0.32669322709163345,0.6075697211155379,0.021912350597609563
2026-04-13,1560,497,157,303,13,24,0.31858974358974357,0.10064102564102564,0.19423076923076923,0.008333333333333333,0.3158953722334004,0.6096579476861167,0.026156941649899398
