advertiser_id,vvs_base,vvs_post,convs_base,convs_post,spend_base,spend_post,ov_base,ov_post,conv_rate_base,conv_rate_post,delta_conv_rate_rel,roas_base,roas_post,delta_roas_rel,aov_base,aov_post,delta_aov_rel,pp_share_base,pp_share_post,delta_pp_share,is_pp_new_adopter,is_pp_continuing,is_non_adopter
32954,3162451,1897855,1299,302,18440.991015,8744.662415,376087.72,130761.96,4.107573524459351E-4,1.591270144452553E-4,-0.6126009345962955,20.394116547,14.953345686,-0.266781395,289.52095458,432.986622517,0.495527753,0.0,0.0,0.0,false,false,true
45306,464789,97302,7,6,4323.516323,668.315641,0,0,1.5060597389353019E-5,6.166368625516433E-5,3.0943718672645106,0,0,,0,0,,0.0,0.0,0.0,false,false,true
38140,60214,26538,0,0,563.947764,243.541862,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39981,28790,9843,0,0,208.265562,48.018049,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
40631,2603872,433884,1312,446,24198.071768,3905.195861,343859.6,102690.06,5.038650133339888E-4,0.0010279245143863336,1.0400791624422037,14.210206635,26.295751521,0.850483402,262.088109756,230.2467713,-0.121490969,0.0,0.0,0.0,false,false,true
33277,1670359,344026,373,283,11820.671138,1762.746104,59767.18,39085.27,2.2330528946172648E-4,8.226122444233866E-4,2.683800981187141,5.05615792,22.172943631,3.385334474,160.233726542,138.1104947,-0.13806851,0.0,0.0,0.0,false,false,true
39212,637069,106630,11,1,6106.325132,975.933195,0,0,1.7266575520077105E-5,9.37822376441902E-6,-0.4568567604204855,0,0,,0,0,,0.0,0.0,0.0,false,false,true
38135,242119,107804,0,0,2290.937709,963.062189,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39980,27879,10262,0,0,218.103405,51.222366,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
36152,486686,240365,460,456,3198.178614,1529.737667,128658.74,135301.09,9.451679316849057E-4,0.0018971148045680527,1.0071722082087113,40.228753778,88.447250087,1.198607756,279.692913043,296.712916667,0.060852467,0.0,0.0,0.0,false,false,true
36591,151388,40971,1,0,1440.511091,367.792053,0,0,6.605543371997781E-6,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
37593,71984,15802,89,38,673.075487,143.64472,5368.68,2256.93,0.0012363858635252279,0.0024047588912795848,0.9449906070771867,7.97634159,15.711889723,0.969811542,60.322247191,59.392894737,-0.015406463,0.0,0.0,0.0,false,false,true
41895,204698,42220,4,0,1385.178997,226.210988,171,0,1.9540982325181487E-5,0.0,-1.0,0.123449749,0,-1,42.75,,,0.0,0.0,0.0,false,false,true
46308,947961,462165,57,84,5796.257035,3445.368736,2708.79,3033.3,6.0129055942174836E-5,1.817532699360618E-4,2.022719500383493,0.467334348,0.880399235,0.883874444,47.522631579,36.110714286,-0.240136476,0.0,0.0,0.0,false,false,true
36140,160551,38839,48,45,1314.361624,284.425766,0,0,2.989704206140105E-4,0.0011586292129045547,2.8753974741883157,0,0,,0,0,,0.0,0.0,0.0,false,false,true
38828,299835,71758,0,0,2027.629129,435.588005,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
30425,1524949,387949,239,140,9488.077886,1831.446066,192915.03,114795.02,1.5672655282242227E-4,3.608721764974262E-4,1.302559266433362,20.332361551,62.679989398,2.082769763,807.175857741,819.964428571,0.015843599,0.0,0.0,0.0,false,false,true
